songID,num_Q1,num_Q2,num_Q3,num_Q4,DominantQ
e8NQ2NH0nc8,2,0,0,0,1
HQ8ISDX6PiI,0,0,0,2,4
ZTrEoB8T9YA,0,3,0,0,2
3N2G21U7guk,3,0,0,4,4
_8v0MFBZoco,2,0,0,0,1
WpZ1rWHOCAQ,3,0,0,0,1
iwxwLEvqeD8,0,1,1,0,2
f2b4kpdw7_c,0,0,0,2,4
g-yM0Lsp4lc,0,0,2,0,3
KRlAez34QfE,0,0,0,3,4
SQDuF0qxGQw,3,0,0,0,1
ldCQ6N9G6Mk,1,0,3,3,3
x5ibvz38jOs,0,2,0,0,2
Tc684nD8CEA,0,0,0,5,4
0lEL_XHyhuU,0,0,4,0,3
77z6Ep3aOmg,0,0,2,0,3
0J7lX-Tcx-w,0,3,0,0,2
GAvPwG2wYZM,0,0,0,2,4
-_FjI4bT2Wo,0,0,0,3,4
snfsc7pEzlk,0,3,0,0,2
7gifuoofgpk,0,0,0,2,4
5J_zI7QE9W8,0,0,0,3,4
yFw_kO7DF-Y,3,0,0,0,1
IH2KrGjKXw0,1,0,3,0,3
7yW9c7t8Hq0,3,0,0,1,1
nGkpcWNAxDU,0,0,0,3,4
ItGNJM6skM4,0,2,1,0,2
6wFJhmhNeeg,1,0,0,0,1
V3Y9L4UOcpk,1,0,0,2,4
TonQX8XbvX8,0,0,4,0,3
bbU31JLtlug,0,0,2,0,3
UuLTvhERcnk,0,0,2,0,3
7JIdJLkJ0S4,0,0,4,0,3
FH28sPhm9Dc,0,0,2,0,3
r_sD61KeUQU,0,0,0,1,4
DvIH5yUrboc,0,0,0,3,4
_S991V8N-8s,0,1,1,0,2
CkjAksZstEA,0,0,0,2,4
3ahg_eQZhxs,2,0,0,0,1
1kny88W533Q,0,4,1,0,2
lQCrA2TE-fo,0,0,0,2,4
epX33OVpkmA,0,3,0,0,2
k4lT-sXg3iI,0,3,0,0,2
TOXg4-ZGb-g,0,0,0,3,4
a5QCcwEjxAk,0,0,0,2,4
cB-Xh8H_7-Q,1,0,0,0,1
0qYNvMCEwaw,0,1,0,0,2
9Yb9OEVwups,1,0,0,0,1
rW1I58_lMEg,0,0,0,4,4
bIx4DwkZxFY,3,0,0,0,1
sA9ac1rod84,0,0,0,2,4
3ZnxqCZ7qGg,0,2,1,0,2
kMHiU0fhWVw,0,0,0,4,4
FoTXpYZXxJs,0,0,0,2,4
vBHoSz8cJIE,0,0,0,5,4
BzqX-9TA-GY,0,2,1,0,2
kfYaGryaGzI,0,0,0,2,4
FyK_c-TIcCA,0,0,0,3,4
sZe3IB1OVfw,2,0,0,0,1
p2qihp_PnLY,0,0,2,0,3
Xlv4PPGrRRs,0,0,0,2,4
eGQUZ9FlUJ4,0,2,0,0,2
PdwxeMPXOCk,3,0,0,0,1
pNwQ9Tu_bCs,3,0,0,0,1
ANZf1QXsNrY,6,2,0,0,1
BaHHHgDd0BU,0,0,0,2,4
6oLmO9ZSJt0,0,0,0,2,4
kKFwiXKlhC8,0,2,0,0,2
epMOLn5Axw0,0,0,1,0,3
fey-8bOR95E,4,0,0,0,1
Jn9r0avp0fY,4,0,0,0,1
1Qc15G0ZHIg,3,0,0,1,1
AjN_5CdVUdw,0,0,0,1,4
Wy2-my19YnY,2,0,0,0,1
XfA2KXodrOE,0,2,0,0,2
aYe-2Glruu4,4,1,0,0,1
sUJ4a74Skk8,1,0,0,0,1
5NW0zDu6IYM,1,2,0,0,2
QmK_SND2jAw,0,2,0,0,2
FUAK5TBaNY8,0,1,3,0,3
I2MrA-o5H8I,0,0,0,3,4
wnB2cjd6zbE,1,0,0,0,1
TYkTOwBfFB8,0,0,2,0,3
qlbazHayULg,1,10,3,0,2
Fc1qk52SaKY,2,0,0,0,1
Uu-oRTRT6uQ,0,3,0,0,2
jO2zX6Ul8GM,0,2,0,1,2
pRuwHN-lI44,0,0,0,4,4
AacIP9mDLw8,0,2,1,0,2
iRu9KQvbtVw,0,0,1,0,3
2Z9SjI131jA,14,0,0,2,1
ezoAduuCkUs,0,1,0,0,2
iGHgeUCPotc,0,0,0,1,4
UTo7E0evQWw,0,1,0,0,2
2v6gJi03LlA,0,0,2,0,3
wqc8iqbDsGM,0,0,5,0,3
Ury1cdB79s0,0,0,0,2,4
vv6nrZ2myXw,5,0,0,0,1
YhXRyOl5pi0,0,0,0,1,4
1A9Hh2GrDTs,0,0,0,1,4
yC0fAQxGgr0,0,0,0,2,4
XC_SiJszQx0,1,1,0,2,4
x4B0raxVODA,0,0,4,0,3
QBJ6YYYpIyk,0,0,0,1,4
uUtnyA6tLnI,0,0,0,1,4
G4rL_OtfFAU,0,0,2,0,3
12tDlCQVRtA,0,0,0,3,4
5DqIntcmdRI,0,0,0,2,4
8izVTDgBQPc,2,0,0,0,1
veG92Oi-DlU,0,0,3,0,3
cQp1BYDGcRo,0,2,0,0,2
X1p8xcarVu0,0,0,4,0,3
HY9vPoHbgaI,4,0,0,0,1
xrhWli_R98g,2,0,0,2,1
ltxNPJda7zE,0,0,1,4,4
By3JCii1k3w,0,0,3,0,3
pzeHffxmdcE,0,0,0,1,4
9Xg69XrVaYU,0,0,3,0,3
1EDThWjNxOI,0,2,0,0,2
NzJjMGJg1wE,0,0,0,1,4
YAAxPW1GB7w,0,0,0,2,4
1cgO42sh-ZY,0,0,1,0,3
eVMSeElk81Q,3,0,0,0,1
vJ77eDxHezE,0,0,0,2,4
78C_TpQDvVE,0,2,0,0,2
D5kyjnlDNZs,0,3,0,0,2
PXOWy7NiZhk,0,0,2,0,3
jziI_cuN_H8,3,0,0,0,1
gSwv8hZGM-s,2,0,0,0,1
fOYX0uH8mSQ,0,0,0,1,4
JMt4m608s3k,0,3,0,0,2
Q49PWE0RJLY,0,0,0,2,4
Xsn9zT-05ns,2,0,0,0,1
QJlnTN7HRwE,0,0,4,0,3
S7Bo4-NCEDk,0,3,0,0,2
b8HVQtIoBYU,0,2,0,0,2
hoPp_GLXQis,0,0,0,2,4
2uLw9Zs60A4,0,1,0,0,2
0v2N1ROvEI0,0,2,0,0,2
_BK2o77sTc0,2,0,0,1,1
0wRQRwnQiqY,0,0,1,0,3
4ydjOX3pWds,2,0,0,0,1
lTxVVdhFE6Q,0,0,0,2,4
5CEAeMiXKaA,0,1,0,0,2
MT2_mXn-vGU,0,0,0,3,4
zvWX_dwQPtU,0,0,3,0,3
3As1t6JySDE,0,0,0,1,4
ZvD8QSO7NPw,0,0,3,0,3
VCSDjQxAJzc,0,0,0,3,4
xYZ8n8ULaNo,0,0,2,0,3
6Uf9XBUD3wE,2,0,0,0,1
8rupdevqfuI,3,0,0,0,1
MbvPxCUMSek,0,0,3,0,3
dCoUuknChhE,0,0,1,0,3
JxSU49jFKwM,0,0,0,2,4
2w5XkAt_3WU,0,0,0,1,4
1fdxsFbnsX4,0,0,0,2,4
mX-xs3OVhTs,2,0,0,0,1
9eMxCs-LXCE,0,0,0,3,4
lFznCt5kvXM,0,1,0,0,2
nBao46YGZDg,0,0,1,0,3
yZGBxiNPu3k,0,1,2,0,3
cCfEDTkuMvg,0,0,1,0,3
biROWEwkDQQ,1,0,0,3,4
Q5b5unyP8BM,0,2,0,0,2
v3Nl5rUxLqE,0,0,0,2,4
xgtwQGeB6_0,0,0,0,1,4
g15aRCHUJEI,0,0,0,3,4
UAm0aWvzFI8,0,2,0,0,2
60LLKmpgzRM,1,0,0,0,1
e838BE_MH6s,4,0,0,1,1
jrVXitpLGMk,0,3,0,0,2
rDhbGjFlKF8,0,0,0,2,4
uqRLEByE6pU,3,0,0,0,1
prUUays30Mg,0,0,0,2,4
PK8YIUaV3Xw,0,0,0,2,4
_SJQaaRzD-A,2,0,0,0,1
gvWDOIiocuE,0,1,2,0,3
4Er-eFHSHA4,0,0,4,0,3
8TYY0qG-KOw,0,1,0,1,2
7n32BtYb4d4,0,4,0,0,2
9v2WSpn4FCw,6,8,0,1,2
DhnX54kOW8U,0,1,0,0,2
BIRDDxz0E4c,0,0,1,1,3
_vZOEQCYSaY,0,1,2,0,3
1TAKQK3s6qQ,0,1,0,0,2
gwmVjvR-sVs,2,0,0,1,1
q4T8Znozvkk,0,0,0,1,4
Oku8sIpTMAE,0,0,5,0,3
RiQMuhk_SuQ,0,3,1,0,2
s6-SbDSZzEU,2,0,0,0,1
KxlqB3j0zys,2,0,0,3,4
VXh4IaR5C6s,0,0,0,1,4
u_7b9CwyM8Q,0,0,0,2,4
tfuul78deOs,0,0,2,0,3
jSWItJI-Gmk,0,0,0,2,4
FSzOgraSKhs,0,0,0,2,4
TNoaOTrTkTQ,3,0,0,0,1
yrvKReuwVlY,0,4,0,0,2
jCLgDtk695I,0,0,0,5,4
s5b8viFsVJE,3,0,0,0,1
Gcbk0GPT3-g,0,0,0,2,4
DYBBfpEx-JI,0,4,1,0,2
ZgT7yq2jsBk,1,0,0,0,1
OO7zYVeK814,0,0,3,0,3
osxmQReE_2o,1,0,0,0,1
iHPKusssXzk,0,0,0,3,4
RL_cmmNVLfs,0,0,1,0,3
V_jbWvQNh5c,0,0,0,2,4
UE0y8MHqT-g,0,2,1,0,2
ufRISSD28XA,0,2,0,0,2
cXxGBDgFCs8,0,0,0,3,4
k6aLLVX1D7Y,0,0,0,3,4
tw_lArYiHTo,0,0,1,0,3
wlOa1jkTn_U,0,0,3,0,3
2eIsQtm4YNs,0,0,2,0,3
mGYKWCVnMwQ,0,0,0,2,4
UOSlDydo94E,3,0,0,0,1
nOIBJHkqrE8,1,1,0,0,1
uj3Gif77SYM,0,0,9,0,3
yhIncZ_Ue4E,0,3,0,0,2
FOcdHIhI0_s,0,0,2,0,3
Ie5koh4qvJc,2,7,14,10,3
fShAWhXIits,0,0,0,2,4
D-gDPh9ZpFk,0,3,0,0,2
iFgSjUqI7iM,2,0,0,0,1
NTI9ode6bRk,0,0,2,0,3
S1T3UF1vhSk,0,2,1,0,2
K6OFDxBU370,2,0,0,0,1
zHwJG8Rrx6c,4,0,0,0,1
UbKAl4roB8k,0,0,0,3,4
xIsvaT20pZ0,0,0,2,0,3
ijfxkQPAQdE,0,2,1,0,2
VXgRfsVd_o0,3,0,0,0,1
6kRPHamGDSo,3,0,0,1,1
z5ewpQwGDNw,0,3,0,0,2
miqLU2739dk,1,1,0,0,1
Cg2u_Ldjv8g,2,0,0,0,1
K84TcgjCRt4,0,0,3,0,3
k-FNDbK6Qhg,0,2,0,1,2
im4Qxn3GQvo,3,0,0,0,1
nFunbdBrukY,0,0,1,0,3
ZdyiXIlKe_Y,0,2,0,0,2
48EYLEAgaBc,0,2,0,0,2
jTPXwbDtIpA,0,2,1,0,2
NP0lwB-_-og,1,0,0,1,1
c6CwY8Gbw0c,0,0,5,0,3
3TYeU9idRGI,0,0,0,2,4
iXiSFSGws-c,0,0,0,3,4
wzSr6qR3Ra0,0,0,0,1,4
Xf2fox7zhCQ,0,0,0,3,4
o20YCzej5_s,0,1,0,0,2
doM_LWo-74A,5,0,0,0,1
UaYYMRkHMYc,0,0,0,3,4
1Q3MoBFh6eU,0,1,2,0,3
jIKX3ShvLxo,0,3,0,0,2
r6laJv1-HMg,1,0,0,0,1
Iq6g_4AwUWs,0,2,0,0,2
22S3w4idugs,0,0,0,1,4
Dg935IbDggo,0,4,0,0,2
ISCVfmBvYoM,0,0,1,0,3
5Ju9q1N2x0E,1,0,0,2,4
f0NbGeyJYms,0,0,1,0,3
0H4rq0L9OSw,0,2,0,0,2
JYVXM0qNQAg,2,1,0,0,1
nBIls0laAAU,0,0,3,0,3
170KC2CbJ7Y,0,0,0,2,4
Dw7M69CidJ8,0,0,0,4,4
6n8HgIcJ6vo,0,1,0,0,2
kDGmND1BgmA,0,0,2,0,3
bQS8eAXAhyE,3,0,0,0,1
ii1Jw1-7Ka4,0,0,3,0,3
OgkB7PfqWzA,0,0,0,2,4
l-4Kce3YxxQ,0,5,0,0,2
DX1IK3z1w10,1,0,0,1,1
POaIGvLsp5M,2,0,0,0,1
heBmBQDWj-M,0,0,0,3,4
v2an-9szi8M,0,0,1,0,3
vVTP0DOL_2Q,0,0,4,0,3
RaUSISlnhKw,3,0,0,0,1
0c2dTJTDUR4,0,0,1,1,3
UJcnNfeCN1c,2,1,1,0,1
OCqMDeD6Fmc,0,4,0,0,2
_FVzelKlBFs,0,3,0,0,2
CxFXrYgdSSI,0,3,0,0,2
16OaOpfOPZ0,0,2,2,0,2
j8Ir-ssM-AA,0,0,0,2,4
PLfFWFZflQU,0,0,2,0,3
f2BXXa7lPuE,0,4,0,0,2
H6_7DjsbROQ,0,0,5,0,3
lvfNo4KOTmM,0,0,0,2,4
rrD7XMtPs0Q,0,0,1,0,3
FfwKrQyQ7WU,4,0,0,0,1
08t73Qgjkt4,0,3,0,0,2
JT1XJnVmABo,4,1,1,3,1
IgpNyJVWcBo,0,0,0,1,4
wfXSdMsd4q8,0,1,5,0,3
zMa78n8ULtE,0,0,2,0,3
k4dxAlI5N-k,2,0,0,0,1
JP3QKZlyQz4,0,0,0,3,4
E6MARl3zjnQ,0,0,0,1,4
61EA0xRX8gE,0,5,0,1,2
wxXpvnmq_-E,0,0,3,0,3
0EWWyyV7RJA,0,0,1,0,3
E5qEloUO3SM,0,0,1,1,3
4dXC1cC7crw,2,0,0,0,1
0vLPYiPN7qY,3,0,1,0,1
B3aRl8iTEKw,0,0,0,2,4
cFWdWpyvwag,0,2,0,0,2
94ROf10d1iA,4,0,0,0,1
lalnGhxT3PQ,0,2,0,0,2
--2B4d4lQhs,0,3,0,1,2
8c7kcmsnf-s,0,3,0,0,2
OUb9uaOlWAM,0,0,0,1,4
TcFVq0leii4,0,2,0,1,2
P-We4q3goKU,0,6,1,0,2
XPLYvpyfKUM,0,0,0,2,4
egYSmNuIFGk,0,0,2,1,3
NGE9ynTJABg,3,0,0,0,1
Y1F0c3zgMJo,0,0,0,2,4
OoxI6k0Qsno,0,0,0,2,4
HYVmgq5Y93g,0,0,0,3,4
UpHutdJvZMI,0,0,0,3,4
BGf5nCdzPOc,2,0,0,0,1
3_MxhSS86oU,0,2,0,0,2
REq37pDAm3A,0,1,4,0,3
tLmXAWfbGqs,0,0,1,0,3
Adil-zpJdEs,0,0,1,0,3
38i12IPkL5c,0,3,0,0,2
Kk60F8a7-Jw,0,1,0,0,2
SlsXsqotUis,1,0,0,0,1
kopwU6zpS4k,0,0,1,0,3
02t1bj7ZABY,0,0,3,0,3
bfopzItCYrE,0,1,1,1,2
sEQf5lcnj_o,0,4,0,0,2
d_49EtXDMFE,0,0,0,3,4
GbUV3TXUzeQ,2,0,0,1,1
PZN7XLKzLDI,0,1,0,1,2
QwsQ8ejbMKg,2,0,0,0,1
oTi57hZfArE,0,0,0,3,4
ADJ_PDauy-g,0,0,0,3,4
J6X3rVU1H-c,2,0,0,1,1
qRceKZtwRWA,0,0,1,1,3
GwdQliEv6Z0,0,2,0,0,2
cm6E860vDjY,0,3,0,0,2
mlHheZbblT0,0,2,0,0,2
JNzqL24ZcZ8,0,0,3,0,3
AWNbcxXDmt0,0,1,0,0,2
EtAbPc20mn8,0,1,0,0,2
vpTguZtJAFA,0,0,0,3,4
D3onzY4MNxE,0,0,2,0,3
pouxqiySdI8,0,2,0,0,2
UYh88SRZC24,2,0,0,0,1
Hwd6l9jK7bo,0,0,0,2,4
L3_TadjSQQ0,0,2,0,0,2
fuCxYrru2S4,0,2,1,0,2
WQrPcuy50aA,0,2,0,0,2
1vjy9oMFa8c,3,0,0,3,1
VrWAZLRdQO8,0,0,2,0,3
o5AIp2Yc01M,2,0,0,0,1
OyaY4213c2A,0,0,0,2,4
zmZHNy9T8Pg,3,0,0,0,1
XWk5XUEBXmg,0,0,0,2,4
GY3f6ckBVkA,4,0,0,0,1
rEz0D3VohFA,0,2,1,0,2
WBxql6cuU7c,0,1,0,0,2
fnqb8zqHqdY,0,0,3,0,3
T92R7xjce34,1,0,0,1,1
ilCcZpD39HU,0,0,5,0,3
aQ4PIaRMLwE,0,0,0,3,4
-jJVb0xvbdg,0,2,0,0,2
-vAz_HTFEXs,0,0,2,0,3
dfNdpy8TUzA,3,0,0,0,1
pbVGv_g4n50,0,0,1,0,3
ivCNV47tsRw,0,4,0,0,2
ltNK_MY1HkM,0,0,0,3,4
pkz8OkWhwnk,0,0,0,2,4
Cir1kZyB7QM,0,0,0,2,4
zjr_-ql5Avk,0,0,3,0,3
gxsdWKc1QaM,0,0,0,1,4
jNzZCplNNyY,0,0,0,2,4
Y5JcZQ0xg4Y,4,0,0,0,1
D8Ed5PZXfF4,0,0,1,0,3
Tjno89OVuRI,0,0,0,2,4
dtS02mrDMsM,0,5,0,0,2
_kJtgm1OUNA,3,0,0,0,1
wS0RzrBL9UI,0,0,3,0,3
